id,slug,title,sector,nco_code,employment,median_wage_inr,education_req,formal_sector_pct,source_ncs,source_plfs,source_ncvet
NCS-2411.0100,accountant,Accountant,BFSI,2411.0100,,,,,True,False,False
NCS-4311.0401,accounts-executive-accounts-payable-amp-receivables,Accounts Executive (Accounts Payable &amp; Receivables),BFSI,4311.0401,,,,,True,False,False
NCS-4313.0101,accounts-executive-payroll,Accounts Executive (Payroll),BFSI,4313.0101,,,,,True,False,False
NCS-4311.0101,accounts-executive-recording-amp-reporting,Accounts Executive (Recording &amp; Reporting),BFSI,4311.0101,,,,,True,False,False
NCS-4313.0201,accounts-executive-statutory-compliance,Accounts Executive (Statutory Compliance),BFSI,4313.0201,,,,,True,False,False
NCS-2120.0200,actuary,Actuary,BFSI,2120.0200,,,,,True,False,False
NCS-4311.0500,audit-clerk,Audit Clerk,BFSI,4311.0500,,,,,True,False,False
NCS-2411.0200,auditor,Auditor,BFSI,2411.0200,,,,,True,False,False
NCS-4311.0200,bank-clerk,Bank Clerk,BFSI,4311.0200,,,,,True,False,False
NCS-4311.0700,bill-and-accounts-collector,Bill and Accounts Collector,BFSI,4311.0700,,,,,True,False,False
NCS-4214.0100,bill-collector,Bill Collector,BFSI,4214.0100,,,,,True,False,False
NCS-4132.1400,bill-processing-clerk,Bill Processing Clerk,BFSI,4132.1400,,,,,True,False,False
NCS-4132.1300,book-keeping-machine-operator,Book Keeping Machine Operator,BFSI,4132.1300,,,,,True,False,False
NCS-3311.0100,broker-share-market,"Broker, Share Market",BFSI,3311.0100,,,,,True,False,False
NCS-2412.0300,budget-analyst,Budget Analyst,BFSI,2412.0300,,,,,True,False,False
NCS-4419.0102,business-correspondent,Business Correspondent,BFSI,4419.0102,,,,,True,False,False
NCS-4211.0200,cashier,Cashier,BFSI,4211.0200,,,,,True,False,False
NCS-4311.0600,clerk-cost-accounting,"Clerk, Cost Accounting",BFSI,4311.0600,,,,,True,False,False
NCS-4110.0200,clerk-enquiry,"Clerk, Enquiry",BFSI,4110.0200,,,,,True,False,False
